rule,kind,total,dealer,agent,optimal,cost,frequency,ev_stand,ev_hit,ev_double,ev_split
S17,pair,10,4,stand,stand,0.0,0.007282658170232136,0.6610499619480718,-0.8547102082333908,-1.7094204164667817,0.4609402437943539
S17,pair,11,4,split,split,0.0,0.0004551661356395085,-0.21106310899491437,0.12659562809256977,0.058426518743744875,0.5660405504179759
S17,hard,5,5,hit,hit,0.0,0.000910332271279017,-0.16719266083547546,-0.023978970391859804,-0.3343853216709509,
S17,hard,6,5,hit,hit,0.0,0.000910332271279017,-0.16719266083547546,-0.03491597333010237,-0.3155774316293277,
S17,hard,7,5,hit,hit,0.0,0.001820664542558034,-0.16719266083547546,-0.00727136090294106,-0.2027300913795885,
S17,hard,8,5,hit,hit,0.0,0.001820664542558034,-0.16719266083547546,0.07080463598303366,0.0034564434849752024,
S17,hard,9,5,double,double,0.0,0.002730996813837051,-0.16719266083547546,0.15803185626651717,0.24305722487303602,
S17,hard,10,5,double,double,0.0,0.002730996813837051,-0.16719266083547546,0.2562585545016338,0.5125171090032676,
S17,hard,11,5,double,double,0.0,0.0036413290851160683,-0.16719266083547546,0.3073495089545139,0.6146990179090278,
S17,hard,12,5,stand,stand,0.0,0.006372325898953118,-0.16719266083547546,-0.1932711694262835,-0.386542338852567,
S17,hard,13,5,stand,stand,0.0,0.006372325898953118,-0.16719266083547546,-0.2573332724389392,-0.5146665448778784,
S17,hard,14,5,stand,stand,0.0,0.005461993627674102,-0.16719266083547546,-0.32139537545159497,-0.6427907509031899,
S17,hard,15,5,stand,stand,0.0,0.005461993627674102,-0.16719266083547546,-0.3854574784642507,-0.7709149569285014,
S17,hard,16,5,stand,stand,0.0,0.004551661356395085,-0.16719266083547546,-0.44951958147690646,-0.8990391629538129,
S17,hard,17,5,stand,stand,0.0,0.004551661356395085,-0.04494137556492461,-0.5229856295103739,-1.0459712590207477,
S17,hard,18,5,stand,stand,0.0,0.003641329085116068,0.19956119497617703,-0.6152595675854643,-1.2305191351709286,
S17,hard,19,5,stand,stand,0.0,0.003641329085116068,0.4395121041608836,-0.7259912679055323,-1.4519825358110645,
S17,soft,13,5,hit,hit,0.0,0.000910332271279017,-0.16719266083547546,0.13336273848321714,0.12595448524867894,
S17,soft,14,5,double,double,0.0,0.000910332271279017,-0.16719266083547546,0.11189449567473912,0.12595448524867894,
S17,soft,15,5,double,double,0.0,0.000910332271279017,-0.16719266083547546,0.09195969878115239,0.12595448524867894,
S17,soft,16,5,double,double,0.0,0.000910332271279017,-0.16719266083547546,0.07344881595139321,0.12595448524867892,
S17,soft,17,5,double,double,0.0,0.000910332271279017,-0.04494137556492461,0.09118907768677426,0.1823781553735485,
S17,soft,18,5,double,double,0.0,0.000910332271279017,0.19956119497617703,0.14761274781164385,0.2952254956232877,
S17,soft,19,5,stand,stand,0.0,0.000910332271279017,0.4395121041608836,0.20298603454657616,0.4059720690931523,
S17,soft,20,5,stand,stand,0.0,0.000910332271279017,0.6703596906328,0.2562585545016338,0.5125171090032676,
S17,pair,2,5,split,split,0.0,0.0004551661356395085,-0.16719266083547546,-0.012379926519926554,-0.3343853216709509,0.12724982334843857
S17,pair,3,5,split,split,0.0,0.0004551661356395085,-0.16719266083547546,-0.03491597333010237,-0.3155774316293277,0.10229274834073283
S17,pair,4,5,split,split,0.0,0.0004551661356395085,-0.16719266083547546,0.07080463598303366,0.0034564434849752024,0.08025987288786889
S17,pair,5,5,double,double,0.0,0.0004551661356395085,-0.16719266083547546,0.2562585545016338,0.5125171090032676,0.05990961327165762
S17,pair,6,5,split,split,0.0,0.0004551661356395085,-0.16719266083547546,-0.1932711694262835,-0.386542338852567,0.04398690099355534
S17,pair,7,5,split,split,0.0,0.0004551661356395085,-0.16719266083547546,-0.32139537545159497,-0.6427907509031899,0.09996462168792976
S17,pair,8,5,split,split,0.0,0.0004551661356395085,-0.16719266083547546,-0.44951958147690646,-0.8990391629538129,0.22831820480547466
S17,pair,9,5,split,split,0.0,0.0004551661356395085,0.19956119497617703,-0.6152595675854643,-1.2305191351709286,0.3633482523721904
S17,pair,10,5,stand,stand,0.0,0.007282658170232136,0.6703596906328,-0.8544804748772862,-1.7089609497545724,0.5125171090032676
S17,pair,11,5,split,split,0.0,0.0004551661356395085,-0.16719266083547546,0.15648238458465502,0.1259544852486789,0.6146990179090278
S17,hard,5,6,hit,hit,0.0,0.000910332271279017,-0.15369901583000456,-0.0011863378384402235,-0.3073980316600091,
S17,hard,6,6,hit,hit,0.0,0.000910332271279017,-0.15369901583000456,-0.013005835529874355,-0.2819460045056481,
S17,hard,7,6,hit,hit,0.0,0.001820664542558034,-0.15369901583000456,0.02918534235386081,-0.1383371642922724,
S17,hard,8,6,hit,hit,0.0,0.001820664542558034,-0.15369901583000456,0.11496015009622317,0.08701519812895742,
S17,hard,9,6,double,double,0.0,0.002730996813837051,-0.15369901583000456,0.1960188392572787,0.31705474570166675,
S17,hard,10,6,double,double,0.0,0.002730996813837051,-0.15369901583000456,0.28779508429888423,0.5755901685977685,
S17,hard,11,6,double,double,0.0,0.0036413290851160683,-0.15369901583000456,0.3336900474537847,0.6673800949075694,
S17,hard,12,6,stand,stand,0.0,0.006372325898953118,-0.15369901583000456,-0.17052619990757958,-0.34105239981515917,
S17,hard,13,6,stand,stand,0.0,0.006372325898953118,-0.15369901583000456,-0.23562627561296387,-0.47125255122592774,
S17,hard,14,6,stand,stand,0.0,0.005461993627674102,-0.15369901583000456,-0.30072635131834813,-0.6014527026366963,
