total,dealer,soft,can_double,pair,q_hit,q_stand,q_double,q_split,n_hit,n_stand,n_double,n_split
12,10,True,True,11,-0.0791580195671509,-0.5345874685231822,-0.5124356144223693,0.16089034956677692,6746,6751,6795,6694
12,11,False,False,0,-0.3578749215645266,-0.6608210442407328,0.0,0.0,14343,5018,0,0
12,11,False,True,0,-0.3569185227970132,-0.6701921381984839,-0.8268344558667134,0.0,27701,22692,22568,0
12,11,False,True,6,-0.36466358500256824,-0.6481294236602632,-0.7301587301587295,-0.6001016260162608,1947,1978,1953,1968
12,11,True,True,11,-0.045797684952189256,-0.6854630108639418,-0.6300102774922925,0.10615079365079362,1987,1933,1946,2016
13,2,False,False,0,-0.30841837365026964,-0.29708242026912024,0.0,0.0,121413,110434,0,0
13,2,False,True,0,-0.3066368488109947,-0.29297824940904105,-0.6137109682320014,0.0,112237,117606,110583,0
13,2,True,False,0,0.05566218809980811,-0.32668329177057365,0.0,0.0,521,401,0,0
13,2,True,True,0,0.030513491973129962,-0.3086719223771986,-0.07750611246943757,0.0,8783,8245,8180,0
13,3,False,False,0,-0.2821639434299067,-0.2515934029831139,0.0,0.0,14566,30438,0,0
13,3,False,True,0,-0.28932783483491065,-0.25807551350890634,-0.5911946351419421,0.0,38071,46932,37727,0
13,3,True,False,0,0.13627639155470261,-0.2518703241895259,0.0,0.0,521,401,0,0
13,3,True,True,0,0.07749640804597713,-0.2596289669460398,0.00823815764838049,0.0,11136,10619,10682,0
13,4,False,False,0,-0.29421416234887743,-0.2168422598289336,0.0,0.0,11580,27241,0,0
13,4,False,True,0,-0.2678911149212042,-0.21103846153846176,-0.5382916744972782,0.0,42577,52000,42568,0
13,4,True,False,0,0.0915750915750916,-0.16209476309226925,0.0,0.0,546,401,0,0
13,4,True,True,0,0.0941655231155062,-0.20440266887449393,0.05338908878731881,0.0,21133,20533,20566,0
13,5,False,False,0,-0.2478602620087336,-0.15350127108851389,0.0,0.0,5725,21635,0,0
13,5,False,True,0,-0.268071312803888,-0.16227171077152366,-0.5292442757147898,0.0,33935,42928,33716,0
13,5,True,False,0,0.10364683301343572,-0.18703241895261846,0.0,0.0,521,401,0,0
13,5,True,True,0,0.1324588010611858,-0.16803318889164978,0.1245153920708898,0.0,347157,346622,346672,0
13,6,False,False,0,-0.24911402960183485,-0.14662474007201864,0.0,0.0,4797,19717,0,0
13,6,False,True,0,-0.23081454506506716,-0.15167686233676117,-0.4746125066809178,0.0,37346,46098,37420,0
13,6,True,False,0,0.09476309226932661,-0.16022099447513802,0.0,0.0,401,543,0,0
13,6,True,True,0,0.15527700544589673,-0.16045924225028776,0.17363534752161436,0.0,87038,87100,87678,0
13,7,False,False,0,-0.2723893081527211,-0.46995377503852126,0.0,0.0,26899,8437,0,0
13,7,False,True,0,-0.2691617411280487,-0.47933315375176083,-0.5791269770616357,0.0,41789,33411,33699,0
13,7,True,False,0,0.09476309226932675,-0.5073529411764706,0.0,0.0,401,544,0,0
13,7,True,True,0,0.10880369187078466,-0.46556147621866956,-0.21904948171328015,0.0,5634,5067,5113,0
13,8,False,False,0,-0.3305930485986314,-0.5096036955993202,0.0,0.0,26153,8226,0,0
13,8,False,True,0,-0.32515684586050353,-0.5098408455837627,-0.6878525987276427,0.0,40645,32924,33324,0
13,8,True,False,0,0.07765151515151514,-0.4563591022443888,0.0,0.0,528,401,0,0
13,8,True,True,0,0.040429200996359355,-0.5187664840738508,-0.28917642226329926,0.0,5219,4929,4869,0
13,9,False,False,0,-0.3958134436547476,-0.5413652091852791,0.0,0.0,28281,9537,0,0
13,9,False,True,0,-0.3839687484547314,-0.5431070636870144,-0.812223418251403,0.0,40446,33382,33444,0
13,9,True,False,0,-0.06751824817518251,-0.48641975308641994,0.0,0.0,548,405,0,0
13,9,True,True,0,-0.0407386255473064,-0.5429385429385422,-0.49542015133413037,0.0,5253,4914,5022,0
13,10,False,False,0,-0.424743700109561,-0.5428080161271205,0.0,0.0,102224,33732,0,0
13,10,False,True,0,-0.4311649747945573,-0.5419174566727718,-0.8704667583367708,0.0,144810,118459,118541,0
13,10,True,False,0,-0.1295045045045046,-0.5610972568578549,0.0,0.0,888,401,0,0
13,10,True,True,0,-0.10517382972899011,-0.5296595296595319,-0.5147270736065473,0.0,18265,17094,17349,0
13,11,False,False,0,-0.410747405885007,-0.6698645598194127,0.0,0.0,19949,7088,0,0
13,11,False,True,0,-0.394127126230977,-0.6672710006043361,-0.8559989555681252,0.0,27925,23166,22979,0
13,11,True,False,0,-0.028806584362139873,-0.6059850374064841,0.0,0.0,486,401,0,0
13,11,True,True,0,-0.04794709286304775,-0.6709511568123396,-0.6492704826038151,0.0,3629,3501,3564,0
