kind,total,dealer,state,best,ev_stand,ev_hit,ev_double,ev_split
hard,13,7,"(13, 7, False, True, 0)",hit,-0.4753751832769335,-0.2690728777660775,-0.5874231313418175,
hard,14,7,"(14, 7, False, True, 0)",hit,-0.4753751832769335,-0.3212819579256434,-0.6681346416069046,
hard,15,7,"(15, 7, False, True, 0)",hit,-0.4753751832769335,-0.36976181807381175,-0.7488461518719918,
hard,16,7,"(16, 7, False, True, 0)",hit,-0.4753751832769335,-0.41477883106853947,-0.8295576621370789,
hard,17,7,"(17, 7, False, True, 0)",stand,-0.10680898948269474,-0.48348583187756294,-0.9669716637551259,
hard,18,7,"(18, 7, False, True, 0)",stand,0.3995541673365518,-0.5911438447496054,-1.1822876894992107,
hard,19,7,"(19, 7, False, True, 0)",stand,0.6159764957534315,-0.7154497290383309,-1.4308994580766619,
soft,13,7,"(13, 7, True, True, 0)",hit,-0.4753751832769335,0.12238569517899203,-0.18386558001638165,
soft,14,7,"(14, 7, True, True, 0)",hit,-0.4753751832769335,0.07950748849446825,-0.18386558001638165,
soft,15,7,"(15, 7, True, True, 0)",hit,-0.4753751832769335,0.03702828227926932,-0.18386558001638165,
soft,16,7,"(16, 7, True, True, 0)",hit,-0.4753751832769335,-0.004890157173015826,-0.18386558001638162,
soft,17,7,"(17, 7, True, True, 0)",hit,-0.10680898948269474,0.05382346371611668,-0.013758105957502216,
soft,18,7,"(18, 7, True, True, 0)",stand,0.3995541673365518,0.17067649990517358,0.21994796642061162,
soft,19,7,"(19, 7, True, True, 0)",stand,0.6159764957534315,0.22062011415522273,0.31983519492070994,
soft,20,7,"(20, 7, True, True, 0)",stand,0.7732272265371751,0.2569087443360866,0.39241245528243773,
pair,2,7,"(4, 7, False, True, 2)",split,-0.4753751832769335,-0.08827920105846368,-0.950750366553867,-0.0073993244927046155
pair,3,7,"(6, 7, False, True, 3)",split,-0.4753751832769335,-0.15193270723669947,-0.8940478752009072,-0.06776045882169346
pair,4,7,"(8, 7, False, True, 4)",hit,-0.4753751832769335,0.0822074393637429,-0.18772955497255242,-0.12944368385790753
pair,5,7,"(10, 7, False, True, 5)",double,-0.4753751832769335,0.2569087443360866,0.39241245528243773,-0.19178016550927715
pair,6,7,"(12, 7, False, True, 6)",hit,-0.4753751832769335,-0.2128477145173142,-0.5067116210767303,-0.25675069621437907
pair,7,7,"(14, 7, False, True, 7)",split,-0.4753751832769335,-0.3212819579256434,-0.6681346416069046,-0.0905008809018357
pair,8,7,"(16, 7, False, True, 8)",split,-0.4753751832769335,-0.41477883106853947,-0.8295576621370789,0.21152959698650559
pair,9,7,"(18, 7, False, True, 9)",stand,0.3995541673365518,-0.5911438447496054,-1.1822876894992107,0.37000371337194815
pair,10,7,"(20, 7, False, True, 10)",stand,0.7732272265371751,-0.8518518233873444,-1.7037036467746889,0.5138174886721733
pair,11,7,"(12, 7, True, True, 11)",split,-0.4753751832769335,0.16547293077063507,-0.18386558001638165,0.4628889488642909
hard,5,8,"(5, 8, False, True, 0)",hit,-0.5105175154976174,-0.18809330390318524,-1.0210350309952347,
hard,6,8,"(6, 8, False, True, 0)",hit,-0.5105175154976174,-0.21724188132078476,-1.0012555626184394,
hard,7,8,"(7, 8, False, True, 0)",hit,-0.5105175154976174,-0.2106047687243497,-0.8470757937777854,
hard,8,8,"(8, 8, False, True, 0)",hit,-0.5105175154976174,-0.059898275658656276,-0.45198684873362777,
hard,9,8,"(9, 8, False, True, 0)",hit,-0.5105175154976174,0.09837621743539254,-0.02644228964866953,
hard,10,8,"(10, 8, False, True, 0)",double,-0.5105175154976174,0.19795370833197612,0.28663571688628364,
hard,11,8,"(11, 8, False, True, 0)",double,-0.5105175154976174,0.2299821453239918,0.3506925908703151,
hard,12,8,"(12, 8, False, True, 0)",hit,-0.5105175154976174,-0.27157480502428616,-0.6156608928303438,
